"","code","employmentStatus","countryOfResidence","gender","age","income","customerType","joinDate","isCustomerAtMost6MonthOld","seniority","isPrimaryCustomer","customerTypeFirstMonth","customerRelationTypeFirstMonth","customerResidenceIndex","customerForeignIndex","channelOfJoin","deceasedIndex","customerAddrProvinceName","isCustomerActive","product"
"208","1050935.0","N","ES","V",25,47843.46,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"209","1050936.0","N","ES","V",29,31697.07,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"210","1050937.0","N","ES","V",30,50423.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"211","1050938.0","N","ES","V",30,57371.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"213","1050940.0","N","ES","H",67,50423.58,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"214","1050941.0","N","ES","H",55,57926.16,"02 - PARTICULARES","2012-08-10",0,34,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"215","1050943.0","N","ES","H",32,50423.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"218","1050926.0","N","ES","H",23,91258.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BURGOS\","1","[1,2,3]"
"219","1050902.0","N","ES","H",23,38074.32,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CACERES\","1","[1,2,3]"
"222","1050906.0","N","ES","V",25,129751.02,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"223","1050907.0","N","ES","H",27,85067.16,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"224","1050908.0","N","ES","H",24,85670.88,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"225","1050909.0","N","ES","V",26,57926.16,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"226","1050910.0","N","ES","V",32,30906.81,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MURCIA\","0","[1,2,3]"
"227","1050911.0","N","ES","H",29,50229.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"230","1050914.0","N","ES","H",25,34358.88,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"231","1050915.0","N","ES","H",37,122336.88,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"232","1050916.0","N","ES","H",30,182521.62,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\VALENCIA\","0","[1,2,3]"
"233","1050917.0","N","ES","H",23,49074.51,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"234","1050919.0","N","ES","H",24,150781.41,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"236","1050921.0","N","ES","H",23,72013.38,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\AVILA\","1","[1,2,3]"
"237","1050924.0","N","ES","V",26,67354.74,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZAMORA\","1","[1,2,3]"
"238","1050837.0","N","ES","H",22,166221.81,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"241","1050834.0","N","ES","V",23,96211.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","0"
"243","1050748.0","N","ES","V",47,59406.69,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CADIZ\","0","[1,2,3]"
"244","1050749.0","N","ES","H",22,118859.34,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"245","1050750.0","N","ES","H",23,13093.26,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"246","1050751.0","N","ES","H",23,61214.85,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"247","1050752.0","N","ES","V",22,114761.19,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"248","1050753.0","N","ES","V",29,149086.02,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SEVILLA\","0","[1,2,3]"
"250","1050755.0","N","ES","V",22,105335.94,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"251","1050756.0","N","ES","H",23,67719.18,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\AVILA\","0","[1,2,3]"
"252","1050757.0","N","ES","V",22,148870.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"253","1050758.0","N","ES","V",24,247846.8,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MALAGA\","0","[1,2,3]"
"254","1050759.0","N","ES","H",25,35610.15,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"255","1050760.0","N","ES","V",23,43060.35,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"256","1050762.0","N","ES","H",23,44938.2,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"257","1050764.0","N","ES","H",36,31216.23,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"260","1050746.0","N","ES","H",24,64377.69,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"261","1050743.0","N","ES","H",23,59912.88,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"262","1050718.0","N","ES","H",23,111895.86,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\AVILA\","0","[1,2,3]"
"263","1050720.0","N","ES","H",23,311520.45,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"264","1050722.0","N","ES","H",23,81689.91,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"265","1050725.0","N","ES","H",23,140953.86,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"266","1050727.0","N","ES","H",23,25694.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"268","1050732.0","N","ES","H",23,94136.49,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"269","1050734.0","N","ES","V",26,39389.4,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"270","1050735.0","N","ES","H",22,90461.7,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZAMORA\","0","[1,2,3]"
"272","1050738.0","N","ES","H",23,50457.06,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","1","[1,2,3]"
"274","1050740.0","N","ES","V",23,175780.83,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"276","1050742.0","N","ES","V",25,57684.12,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CADIZ\","0","[1,2,3]"
"277","1050744.0","N","ES","H",23,85568.97,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"278","1050768.0","N","ES","H",23,43242.21,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"279","1050769.0","N","ES","H",23,85073.61,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"280","1050771.0","N","ES","V",23,64886.31,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"281","1050806.0","N","ES","H",27,140940.27,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"282","1050810.0","N","ES","V",23,128396.19,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\AVILA\","1","[1,2,3]"
"283","1050811.0","N","ES","H",26,98243.4,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"284","1050813.0","N","ES","H",23,100792.08,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"285","1050815.0","N","ES","V",23,40882.29,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BADAJOZ\","1","[1,2,3]"
"287","1050819.0","N","ES","H",24,105114.81,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"288","1050820.0","N","ES","V",23,95234.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"289","1050822.0","N","ES","V",23,90872.37,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"291","1050825.0","N","ES","V",23,70435.44,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"292","1050829.0","N","ES","V",24,42778.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZAMORA\","0","[1,2,3]"
"293","1050830.0","N","ES","V",22,46364.61,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CORUÑA"," A\","1"
"295","1050832.0","N","ES","V",23,97533.84,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"296","1050833.0","N","ES","V",23,88349.85,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"297","1050804.0","N","ES","V",26,73938.9,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"298","1050803.0","N","ES","H",28,37729.83,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALICANTE\","0","[1,2,3]"
"299","1050800.0","N","ES","H",23,110521.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BURGOS\","1","[1,2,3]"
"300","1050798.0","N","ES","H",34,80555.64,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZAMORA\","1","[1,2,3]"
"301","1050773.0","N","ES","V",22,281761.02,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ALICANTE\","1","[1,2,3]"
"303","1050775.0","N","ES","H",23,42273.99,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"304","1050778.0","N","ES","V",26,126947.19,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"305","1050779.0","N","ES","H",23,45086.37,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BADAJOZ\","1","[1,2,3]"
"306","1050781.0","N","ES","H",23,69094.08,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CUENCA\","0","[1,2,3]"
"307","1050784.0","N","ES","V",23,43947.27,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALMERIA\","0","[1,2,3]"
"308","1050486.0","N","ES","V",29,39097.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"309","1050786.0","N","ES","H",29,116311.89,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"310","1050788.0","N","ES","H",27,102857.34,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"311","1050790.0","N","ES","V",23,57965.34,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"312","1050791.0","N","ES","V",23,107045.79,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"313","1050793.0","N","ES","H",23,56271.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CACERES\","1","[1,2,3]"
"314","1050794.0","N","ES","V",26,23824.32,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","0","[1,2,3]"
"315","1050796.0","N","ES","H",23,56709.78,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CACERES\","1","[1,2,3]"
"316","1050797.0","N","ES","V",22,110465.58,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"318","1050946.0","N","ES","H",31,40881.75,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\VALENCIA\","1","[1,2,3]"
"319","1050485.0","N","ES","H",28,40852.53,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"320","1050481.0","N","ES","H",26,58142.7,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BADAJOZ\","0","[1,2,3]"
"321","1050227.0","N","ES","H",25,77098.77,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"323","1050229.0","N","ES","H",24,123240.45,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALBACETE\","0","[1,2,3]"
"324","1050230.0","N","ES","V",26,62151.18,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"325","1050231.0","N","ES","V",26,88658.25,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"326","1050233.0","N","ES","V",23,66288.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"327","1050234.0","N","ES","V",27,694172.85,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"329","1050238.0","N","ES","H",23,162359.91,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"330","1050239.0","N","ES","H",23,90636.39,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CORUÑA"," A\","1"
"333","1050242.0","N","ES","H",23,192255.09,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"334","1050243.0","N","ES","V",32,37008.6,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"335","1050244.0","N","ES","V",24,82451.25,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"336","1050245.0","N","ES","V",24,79683.84,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"337","1050226.0","N","ES","H",27,69293.43,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","0"
"339","1050246.0","N","ES","H",30,88394.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"340","1050225.0","N","ES","H",23,140829,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BARCELONA\","1","[1,2,3]"
"341","1050223.0","N","ES","V",23,106756.17,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"342","1050204.0","N","ES","H",48,66698.61,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\GUADALAJARA\","1","[1,2,3]"
"344","1050208.0","N","ES","H",42,30535.47,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"345","1050209.0","N","ES","H",23,120620.16,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"346","1050210.0","N","ES","H",23,65459.37,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"347","1050211.0","N","ES","H",23,54524.1,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\SEGOVIA\","1","[1,2,3]"
"348","1050213.0","N","ES","V",27,136923.54,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALBACETE\","0","[1,2,3]"
"349","1050214.0","N","ES","H",26,81058.77,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","S","KHE","N","\MADRID\","1","[1,2,3]"
"350","1050215.0","N","ES","H",55,288457.44,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"351","1050216.0","N","ES","H",25,45566.46,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALBACETE\","0","[1,2,3]"
"354","1050218.0","N","ES","V",24,38771.16,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"356","1050220.0","N","ES","H",22,86517.24,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\PONTEVEDRA\","1","[1,2,3]"
"357","1050222.0","N","ES","H",23,100747.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"358","1050224.0","N","ES","H",25,201083.85,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"359","1050202.0","N","ES","V",23,77287.29,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CORUÑA"," A\","0"
"361","1050247.0","N","ES","H",22,93639,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\CORUÑA"," A\","1"
"363","1050251.0","N","ES","H",27,55568.1,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CUENCA\","0","[1,2,3]"
"364","1050275.0","N","ES","V",22,189723.06,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\CORUÑA"," A\","1"
"367","1050278.0","N","ES","H",24,116529.06,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","1","[1,2,3]"
"368","1050279.0","N","ES","H",24,54032.31,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"369","1050280.0","N","ES","H",26,49459.68,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALBACETE\","0","[1,2,3]"
"371","1050285.0","N","ES","V",23,355856.76,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"372","1050287.0","N","ES","H",25,80976.93,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"374","1050289.0","N","ES","V",33,67589.28,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\BADAJOZ\","1","[1,2,3]"
"375","1050290.0","N","ES","V",23,237593.22,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"376","1050291.0","N","ES","V",23,155915.64,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"378","1050293.0","N","ES","H",25,34983.06,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"379","1050294.0","N","ES","H",22,21499.95,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"380","1050274.0","N","ES","H",23,52766.04,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\LUGO\","1","[1,2,3]"
"381","1050249.0","N","ES","V",23,94329.15,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"382","1050273.0","N","ES","V",27,247945.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"383","1050271.0","N","ES","V",23,38039.46,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"384","1050252.0","N","ES","V",23,45588.75,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"385","1050253.0","N","ES","V",27,440329.68,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"386","1050254.0","N","ES","V",22,93290.43,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\ALBACETE\","1","[1,2,3]"
"387","1050257.0","N","ES","V",23,73773.96,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"389","1050259.0","N","ES","V",23,55723.62,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\AVILA\","1","[1,2,3]"
"390","1050261.0","N","ES","H",23,32943.39,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"391","1050262.0","N","ES","H",25,63083.28,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SEGOVIA\","0","[1,2,3]"
"393","1050264.0","N","ES","H",22,64477.53,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\BADAJOZ\","0","[1,2,3]"
"394","1050266.0","N","ES","H",37,128014.47,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\TOLEDO\","1","[1,2,3]"
"395","1050267.0","N","ES","V",26,129902.61,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"396","1050268.0","N","ES","V",24,258143.28,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\MADRID\","0","[1,2,3]"
"397","1050269.0","N","ES","H",24,21409.59,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"399","1050272.0","N","ES","H",46,101748.15,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","S","KHE","N","\TOLEDO\","0","[1,2,3]"
"401","1050201.0","N","ES","V",30,63046.59,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\BARCELONA\","0","[1,2,3]"
"402","1050199.0","N","ES","V",27,159586.44,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALBACETE\","0","[1,2,3]"
"403","1050125.0","N","ES","V",23,174366.99,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\PALENCIA\","1","[1,2,3]"
"404","1050130.0","N","ES","H",24,46456.05,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ALICANTE\","0","[1,2,3]"
"405","1050132.0","N","ES","V",22,133921.77,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\GIRONA\","0","[1,2,3]"
"406","1050134.0","N","ES","V",36,109175.34,"02 - PARTICULARES","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CUENCA\","0","[1,2,3]"
"407","1050135.0","N","ES","H",22,25934.55,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\CIUDAD REAL\","0","[1,2,3]"
"409","1050138.0","N","ES","V",24,96487.77,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\PALENCIA\","0","[1,2,3]"
"410","1050141.0","N","ES","V",22,52520.82,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\CORUÑA"," A\","0"
"412","1050143.0","N","ES","H",24,69380.94,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"413","1050144.0","N","ES","H",22,95743.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHD","N","\BARCELONA\","1","[1,2,3]"
"414","1050146.0","N","ES","H",35,371313.09,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KFA","N","\MADRID\","1","[1,2,3]"
